slug,display_name,base_name,variant_type,description
tundra-vivillon,Tundra Vivillon,vivillon,pattern,"Vivillon with tundra wing pattern from frozen plains."
dandy-trim-furfrou,Dandy Trim Furfrou,furfrou,trim,"Furfrou with dandy trim styling, sophisticated and refined."
debutante-trim-furfrou,Debutante Trim Furfrou,furfrou,trim,"Furfrou with debutante trim, elegant and formal."
diamond-trim-furfrou,Diamond Trim Furfrou,furfrou,trim,"Furfrou with diamond trim pattern, luxurious and sparkling."
heart-trim-furfrou,Heart Trim Furfrou,furfrou,trim,"Furfrou with heart trim styling, cute and loving."
kabuki-trim-furfrou,Kabuki Trim Furfrou,furfrou,trim,"Furfrou with kabuki trim, dramatic and theatrical."
la-reine-trim-furfrou,La Reine Trim Furfrou,furfrou,trim,"Furfrou with la reine trim, royal and majestic."
matron-trim-furfrou,Matron Trim Furfrou,furfrou,trim,"Furfrou with matron trim, dignified and mature."
pharaoh-trim-furfrou,Pharaoh Trim Furfrou,furfrou,trim,"Furfrou with pharaoh trim, ancient and regal."
star-trim-furfrou,Star Trim Furfrou,furfrou,trim,"Furfrou with star trim pattern, celestial and bright."
east-sea-gastrodon,East Sea Gastrodon,gastrodon,regional,"Gastrodon from the east sea with blue and green coloring."
east-sea-shellos,East Sea Shellos,shellos,regional,"Shellos from the east sea, blue form."
battle-cyclizar,Battle Cyclizar,cyclizar,mode,"Cyclizar in battle mode, ready for combat."
drive-mode-miraidon,Drive Mode Miraidon,miraidon,mode,"Miraidon in drive mode for transportation."
glide-mode-miraidon,Glide Mode Miraidon,miraidon,mode,"Miraidon in glide mode for aerial movement."
gliding-build-koraidon,Gliding Build Koraidon,koraidon,mode,"Koraidon in gliding build for flight."
sprinting-build-koraidon,Sprinting Build Koraidon,koraidon,mode,"Koraidon in sprinting build for high-speed movement."
ride-cyclizar,Ride Cyclizar,cyclizar,mode,"Cyclizar in ride mode for transportation."
bug-arceus,Bug Arceus,arceus,type,"Arceus holding the Insect Plate, Bug-type form."
dark-arceus,Dark Arceus,arceus,type,"Arceus holding the Dread Plate, Dark-type form."
dragon-arceus,Dragon Arceus,arceus,type,"Arceus holding the Draco Plate, Dragon-type form."
electric-arceus,Electric Arceus,arceus,type,"Arceus holding the Zap Plate, Electric-type form."
fairy-arceus,Fairy Arceus,arceus,type,"Arceus holding the Pixie Plate, Fairy-type form."
fighting-arceus,Fighting Arceus,arceus,type,"Arceus holding the Fist Plate, Fighting-type form."
fire-arceus,Fire Arceus,arceus,type,"Arceus holding the Flame Plate, Fire-type form."
flying-arceus,Flying Arceus,arceus,type,"Arceus holding the Sky Plate, Flying-type form."
ghost-arceus,Ghost Arceus,arceus,type,"Arceus holding the Spooky Plate, Ghost-type form."
grass-arceus,Grass Arceus,arceus,type,"Arceus holding the Meadow Plate, Grass-type form."
ground-arceus,Ground Arceus,arceus,type,"Arceus holding the Earth Plate, Ground-type form."
ice-arceus,Ice Arceus,arceus,type,"Arceus holding the Icicle Plate, Ice-type form."
poison-arceus,Poison Arceus,arceus,type,"Arceus holding the Toxic Plate, Poison-type form."
psychic-arceus,Psychic Arceus,arceus,type,"Arceus holding the Mind Plate, Psychic-type form."
rock-arceus,Rock Arceus,arceus,type,"Arceus holding the Stone Plate, Rock-type form."
steel-arceus,Steel Arceus,arceus,type,"Arceus holding the Iron Plate, Steel-type form."
water-arceus,Water Arceus,arceus,type,"Arceus holding the Splash Plate, Water-type form."
bug-silvally,Bug Silvally,silvally,type,"Silvally holding the Bug Memory, Bug-type form."
dark-silvally,Dark Silvally,silvally,type,"Silvally holding the Dark Memory, Dark-type form."
dragon-silvally,Dragon Silvally,silvally,type,"Silvally holding the Dragon Memory, Dragon-type form."
electric-silvally,Electric Silvally,silvally,type,"Silvally holding the Electric Memory, Electric-type form."
fairy-silvally,Fairy Silvally,silvally,type,"Silvally holding the Fairy Memory, Fairy-type form."
fighting-silvally,Fighting Silvally,silvally,type,"Silvally holding the Fighting Memory, Fighting-type form."
fire-silvally,Fire Silvally,silvally,type,"Silvally holding the Fire Memory, Fire-type form."
flying-silvally,Flying Silvally,silvally,type,"Silvally holding the Flying Memory, Flying-type form."
ghost-silvally,Ghost Silvally,silvally,type,"Silvally holding the Ghost Memory, Ghost-type form."
grass-silvally,Grass Silvally,silvally,type,"Silvally holding the Grass Memory, Grass-type form."
ground-silvally,Ground Silvally,silvally,type,"Silvally holding the Ground Memory, Ground-type form."
ice-silvally,Ice Silvally,silvally,type,"Silvally holding the Ice Memory, Ice-type form."
poison-silvally,Poison Silvally,silvally,type,"Silvally holding the Poison Memory, Poison-type form."
psychic-silvally,Psychic Silvally,silvally,type,"Silvally holding the Psychic Memory, Psychic-type form."
rock-silvally,Rock Silvally,silvally,type,"Silvally holding the Rock Memory, Rock-type form."
steel-silvally,Steel Silvally,silvally,type,"Silvally holding the Steel Memory, Steel-type form."
water-silvally,Water Silvally,silvally,type,"Silvally holding the Water Memory, Water-type form."
neutral-xerneas,Neutral Xerneas,xerneas,form,"Xerneas in its neutral form when not in battle."
sunshine-cherrim,Sunshine Cherrim,cherrim,form,"Cherrim in its sunshine form during bright weather."
sandy-burmy,Sandy Burmy,burmy,cloak,"Burmy with sandy cloak from desert environments."
sandy-wormadam,Sandy Wormadam,wormadam,cloak,"Wormadam with sandy cloak, Ground-type form."
trash-burmy,Trash Burmy,burmy,cloak,"Burmy with trash cloak from urban environments."
trash-wormadam,Trash Wormadam,wormadam,cloak,"Wormadam with trash cloak, Steel-type form."
vanilla-cream-berry-sweet-alcremie,Vanilla Cream Berry Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and berry sweet decoration."
vanilla-cream-clover-sweet-alcremie,Vanilla Cream Clover Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and clover sweet decoration."
vanilla-cream-flower-sweet-alcremie,Vanilla Cream Flower Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and flower sweet decoration."
vanilla-cream-love-sweet-alcremie,Vanilla Cream Love Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and love sweet decoration."
vanilla-cream-ribbon-sweet-alcremie,Vanilla Cream Ribbon Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and ribbon sweet decoration."
vanilla-cream-star-sweet-alcremie,Vanilla Cream Star Sweet Alcremie,alcremie,sweet,"Alcremie with vanilla cream and star sweet decoration."
high-speed-flight-configuration-genesect,High Speed Flight Configuration Genesect,genesect,drive,"Genesect with high-speed flight configuration drive."
rotom-drone,Rotom Drone,rotom,form,"Rotom possessing a drone, specialized flying form."
rotom-phone,Rotom Phone,rotom,form,"Rotom possessing a phone, communication form."
rotom-pokedex,Rotom Pokedex,rotom,form,"Rotom possessing a Pokedex, information form."
